Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Footprint,Description,Manufacturer,Manufacturer Part No ,Supplier,Supplier Part No,Supplier Link,
"R1,R2",2,5k1,,,,Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,RES 5.1K OHM 1% 1/16W 0402,YAGEO,RC0402FR-075K1L,DigiKey,311-5.10KLRCT-ND,https://www.digikey.com/en/products/detail/yageo/RC0402FR-075K1L/726624,
R3,1,10k,,,,Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,RES 10K OHM 1% 1/16W 0402,YAGEO,RC0402FR-0710KL,DigiKey,311-10.0KLRCT-ND,https://www.digikey.com/en/products/detail/yageo/RC0402FR-0710KL/726523,
"R4,R5,R16,R17,R18,R19",6,22R,,,,Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,RES 22 OHM 1% 1/16W 0402,YAGEO,RC0402FR-0722RL,DigiKey,311-22.0LRCT-ND,https://www.digikey.com/en/products/detail/yageo/RC0402FR-0722RL/726562,
"R6,R8,R9,R10,R14,R15",6,1K,,,,Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,RES 1K OHM 1% 1/16W 0402,YAGEO,RC0402FR-071KL,DigiKey,311-1.00KLRCT-ND,https://www.digikey.com/en/products/detail/yageo/RC0402FR-071KL/726513,
"R7,R13,R20",3,10K,,,,Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,RES 10K OHM 1% 1/16W 0402,YAGEO,RC0402FR-0710KL,DigiKey,311-10.0KLRCT-ND,https://www.digikey.com/en/products/detail/yageo/RC0402FR-0710KL/726523,
"R11,R12",2,4K7,,,,Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,RES 4.7K OHM 1% 1/16W 0402,YAGEO,RC0402FR-074K7L,DigiKey,311-4.7KLRCT-ND,https://www.digikey.com/en/products/detail/yageo/RC0402FR-074K7L/2827563,
SW1,1,SW_SPST,,,,Button_Switch_SMD:SW_Push_1P1T_NO_CK_KMR2,SWITCH TACTILE SPST-NO 0.05A 32V,C&K,KMR211G LFS,DigiKey,108-KMR211GLFSCT-ND,https://www.digikey.com/en/products/detail/c-k/KMR211G-LFS/550475,
U1,1,ESP32-WROOM-32D,,,,RF_Module:ESP32-WROOM-32D,"RF Module, ESP32-D0WD SoC, Wi-Fi 802.11b/g/n, Bluetooth, BLE, 32-bit, 2.7-3.6V, onboard antenna, SMD",ESPRESSIF,ESP32-WROOM-32D-N4,LCSC,C473012,https://www.lcsc.com/product-detail/C473012.html?s_z=n_q_ESP32-WROOM-32D&spm=wm.fly.bg.0.xh&lcsc_vid=EQIPUl1eE1RaVwdfElRXBVMFQ1YNV1BWFgQPBQFfFgQxVlNeQFNcU1VXQ1FXXjsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktRTlNADxALGw%3D%3D,
U2,1,USBLC6-2P6,,,,Package_TO_SOT_SMD:SOT-666,TVS DIODE 5.25VWM 17VC SOT666,STMicroelectronics,USBLC6-2P6,DigiKey,497-5026-1-ND,https://www.digikey.com/en/products/detail/stmicroelectronics/USBLC6-2P6/1007440,
U3,1,CP2104,,,,Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,IC SGL USB-TO-UART BRIDGE 24QFN,Silicon Labs,CP2104-F03-GMR,DigiKey,336-4146-1-ND,https://www.digikey.com/en/products/detail/silicon-labs/CP2104-F03-GMR/4069045,
U4,1,Si7021-A20,,,,Package_DFN_QFN:DFN-6-1EP_3x3mm_P1mm_EP1.5x2.4mm,SENS HUMID/TEMP 3.6V I2C 3% 6DFN,Silicon Labs,SI7021-A20-IMR,DigiKey,336-5200-1-ND,https://www.digikey.com/en/products/detail/silicon-labs/SI7021-A20-IMR/5048940,
U5,1,74HC245,,,,Package_DIP:DIP-20_W7.62mm,IC TXRX 2V/6V 20-PDIP,Texas Instruments,CD74HC245E,DigiKey,296-12800-5-ND,https://www.digikey.com/en/products/detail/texas-instruments/CD74HC245E/475927,
U6,1,TLV1117LV-3.3,,,,Package_TO_SOT_SMD:SOT-223-3_TabPin2,"3.3V Positive Fixed SOT-223-3 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ",TECH PUBLIC,TPTLV1117LV33DCYR,LCSC,C52146079,https://www.lcsc.com/product-detail/C52146079.html?s_z=n_q_l_TLV1117LV-3.3&spm=wm.fly.bg.10.xh___wm.ssy.ml.1-0.ent&lcsc_vid=EQIPUl1eE1RaVwdfElRXBVMFQ1YNV1BWFgQPBQFfFgQxVlNeQFNcUVFeTlFYUTsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slQ1ZdV1VUWQkaCgg%3D,
